order_id,order_date,sku_id,product_name,final_ak_price,units_sold,quantity,customer_id,placed_gmv
143625,2022-05-28 13:37:46,60eecb26be,Clinic Plus Shampoo 175ml,99.21,6,1,32731,595.26
143625,2022-05-28 13:37:46,61399e18e2,Sunsilk Lusciously Thick & Long Shampoo 180ml,116.92,6,1,32731,701.52
143625,2022-05-28 13:37:46,6173ce3b30,Head & Shoulders Anti Dandruff Hairfall Shampoo 72ml,57.75,6,1,32731,346.5
143625,2022-05-28 13:37:46,60310800a0,Pantene Advanced Hair Fall Solution Shampoo 75ml,52.97,12,1,32731,635.64
143625,2022-05-28 13:37:46,60d1707cc5,Sunsilk Lusciously Thick & Long Shampoo 80ml,51.33,6,1,32731,307.98
143625,2022-05-28 13:37:46,60c6f153a6,Clinic Plus Strong & Long Health Shampoo 80ml,45.23,14,1,32731,633.22
143625,2022-05-28 13:37:46,6277dc3555,Clinic Plus Strong With Egg Protein 175ml,99.68,6,1,32731,598.08
143625,2022-05-28 13:37:46,627271be8e,Lakme 9 to 5 CC 01 Beige 9g,94.6,12,1,32731,1135.2
143625,2022-05-28 13:37:46,626be5bbb5,Lakme 9 to 5 CC 03 Bronze 9g,93.27,12,1,32731,1119.24
132045,2022-05-14 15:55:07,622497ab6c,"Whisper Choice Ultra Sanitary Pads - With Disposal Bags , XL, 6 Pads",33.5,36,1,8189,1206
132045,2022-05-14 15:55:07,5f84665b9e,Fem Fairness Naturals Saffron Skin Bleach 40g,41.59,24,1,8189,998.16
132045,2022-05-14 15:55:07,5f81c9fb89,Head & Shoulders Anti Dandruff Shampoo Smooth & Silky 180ml,127.6,18,2,8189,4593.6
132045,2022-05-14 15:55:07,5f841d0d9e,Johnson's Baby Powder 100g,68.02,18,1,8189,1224.36
132045,2022-05-14 15:55:07,60feb388c4,Lakme Blush & Glow Strawberry Freshness Gel Face Wash 50g,89.9,36,1,8189,3236.4
134023,2022-05-17 14:17:42,60d17870c5,Glow & Lovely Instant Glow With Brightening Multivitamin Facewash 50g,56.16,6,2,99710,673.92
134023,2022-05-17 14:17:42,62035966a7,Pond's Bright Beauty Spot less Fairness SPF 15 PA ++ Serum Cream 35g,109.44,6,1,99710,656.64
134023,2022-05-17 14:17:42,5f8464e689,Fem Gold Crème Bleach With Real Gold 40g,46.16,8,1,99710,369.28
